X,Y,POINT_X,POINT_Y,ID2,Elevation,Analytical Hillshading,Convergence Index,Total Catchment Area,Topographic Wetness Index,LS-Factor,Channel Network Base Level,Channel Network Distance,Valley Depth,Relative Slope Position,Slope,Aspect,TRASP,Profile Curvature,Plan Curvature,Tangential Curvature,Total Insolation,Cookwest cells clusterID 20191125
493161.5532,5180694.683,493161.5532,5180694.683,426,780.55859,0.966504,5.654131,234.525375,3.798865,2.235422,774.560181,5.998413,13.507324,0.30752,13.386174,91.994141,0.265219075,0.005656,0.035907,0.008313,1703.329834,4
493180.2733,5180690.089,493180.2734,5180690.089,427,775.14771,0.942539,4.143743,395.521423,4.751667,2.107197,774.111145,1.03656,18.861145,0.052094,11.316509,94.572327,0.28531431,-0.013476,0.000053,0.00001,1720.976685,2
493206.1393,5180697.801,493206.1393,5180697.801,428,773.77847,0.795158,1.89322,68590.73438,13.120214,0.15647,773.778442,0,20.174927,0,0.652406,166.180374,0.86076155,-0.000366,-0.101578,-0.001157,1744.501831,2
493119.9033,5180723.638,493119.9033,5180723.638,429,784.95648,0.786151,4.955688,241.125671,3.990233,2.652498,776.221313,8.735168,9.450562,0.480331,14.641,37.791183,0.004615643,0.005119,0.008573,0.002167,1467.174561,1
493156.7321,5180717.818,493156.7321,5180717.818,430,781.49876,0.865334,4.406269,243.325684,4.041813,2.523041,775.325806,6.172974,12.710693,0.326895,14.056519,57.628639,0.057014054,0.000367,0.025841,0.006276,1548.044189,1
493181.8996,5180719.875,493181.8996,5180719.875,431,775.1724,0.889039,0.361916,448.249329,5.179165,1.475188,774.521118,0.651306,18.930664,0.033261,8.413308,87.084068,0.228296051,-0.010771,-0.00444,-0.00065,1708.152222,2
493220.8261,5180728.353,493220.8261,5180728.354,432,773.94018,0.783958,-17.333029,22266.06641,12.829718,0.158368,773.942261,0,20.075134,0,0.683682,232.262924,0.962727535,-0.001901,-0.209171,-0.002496,1742.023682,2
493062.6888,5180751.108,493062.6888,5180751.108,433,788.58245,0.84726,1.58432,324.874298,4.168036,3.255472,777.463501,11.118958,6.493591,0.631309,16.417372,49.660393,0.029148328,-0.004292,-0.003993,-0.001128,1474.490845,1
493099.6378,5180747.435,493099.6378,5180747.435,434,783.32125,0.776456,1.873241,461.702789,4.778514,2.547923,776.879822,6.441406,11.38678,0.361305,12.811976,36.232742,0.002955458,-0.007546,-0.011303,-0.002507,1498.210693,1
493129.397,5180740.359,493129.397,5180740.359,435,779.68145,0.798962,1.483615,555.43042,5.616518,1.631762,776.551941,3.129517,14.862122,0.173943,8.489032,46.049049,0.01948731,-0.006434,-0.011267,-0.001663,1604.149414,4
493154.1404,5180744.3,493154.1404,5180744.3,436,777.68065,0.809859,0.549102,684.497498,5.860325,1.15478,776.247742,1.432922,16.755249,0.078783,6.520043,54.269073,0.044187365,-0.003605,-0.015432,-0.001752,1650.5448,4
493182.8059,5180757.26,493182.8059,5180757.26,437,776.43932,0.882014,-11.741327,219.935303,4.401729,0.951749,775.803223,0.636108,17.91687,0.034286,6.963161,174.344604,0.90626878,-0.002923,0.043013,0.005215,1854.395996,3
493221.0407,5180736.025,493221.0407,5180736.025,438,774.08734,0.793746,-9.577301,7525.638672,10.862984,0.179874,774.087341,0,19.975586,0,0.973205,195.693817,0.984494536,0.000047,-0.097114,-0.001649,1751.822021,2
493253.4584,5180757.366,493253.4584,5180757.366,439,774.78549,0.763832,-5.694889,1429.927002,8.48165,0.19576,774.785461,0,19.262878,0,1.406261,286.824646,0.61396603,-0.001522,-0.050711,-0.001245,1726.183716,2
493033.3601,5180774.243,493033.3601,5180774.243,440,790.37636,0.841371,-3.13387,369.437012,4.624563,3.117069,778.061279,12.315063,5.309998,0.698725,14.986598,50.212925,0.030792447,-0.001642,-0.02691,-0.006959,1502.941894,1
493058.079,5180770.8,493058.0791,5180770.8,441,785.50541,0.789041,-3.340389,474.090393,5.120025,1.726583,777.804749,7.700684,9.94751,0.436344,9.422985,41.55365,0.010131203,-0.006088,0.005807,0.000951,1576.731201,4
493078.9372,5180776.433,493078.9372,5180776.433,442,783.56776,0.825845,-4.370391,431.969055,5.142824,1.108034,777.629395,5.938354,11.722595,0.336242,6.980818,61.165394,0.072161507,0.000779,0.041014,0.004985,1657.762817,4
493115.5741,5180772.255,493115.5741,5180772.255,443,779.71249,0.84223,-7.631547,1020.070007,6.201617,1.346649,777.364319,2.348145,15.330872,0.132821,6.903213,70.194252,0.118069611,-0.001677,0.001996,0.00024,1678.030151,4
493136.9419,5180765.204,493136.9419,5180765.204,444,778.31981,0.798821,-5.861304,1165.091309,6.576863,1.012892,776.964966,1.354858,16.441895,0.07613,5.427844,50.476929,0.031593435,-0.002491,-0.010107,-0.000956,1660.432251,4
493177.1408,5180763.598,493177.1408,5180763.598,445,777.46303,0.834723,-11.650448,195.164795,4.529733,0.9901,776.347961,1.115051,17.031738,0.061446,7.0282,204.421814,0.99763224,-0.001181,0.044209,0.005409,1843.981812,3
493211.0524,5180783.166,493211.0524,5180783.166,446,777.45186,0.926226,3.165736,717.799866,5.659188,1.602028,776.473755,0.978088,16.953125,0.054547,8.337389,150.551437,0.754155841,-0.00124,-0.026479,-0.00384,1856.407959,3
493250.041,5180770.245,493250.041,5180770.245,447,775.04703,0.811196,-1.60175,1071.989502,7.335832,0.334867,775.047058,0,19.09729,0,2.343653,186.79866,0.959563063,-0.002929,-0.017924,-0.000733,1777.628418,2
493269.5307,5180778.103,493269.5307,5180778.103,448,775.23749,0.789682,-1.314287,1473.275513,8.534325,0.161022,775.237488,0,18.831055,0,1.226017,214.045364,0.998754254,-0.00058,-0.067311,-0.00144,1753.569824,2
493010.7625,5180819.579,493010.7625,5180819.579,449,793.097,0.956615,-2.285851,318.539185,4.577868,1.912972,778.706543,14.390442,3.988037,0.783005,10.855162,107.53923,0.39211445,0.003308,-0.009671,-0.001821,1770.797119,2
493037.9903,5180804.644,493037.9903,5180804.644,450,788.54245,0.941504,-5.199444,631.923218,5.2739,2.16377,778.493713,10.048767,7.984619,0.557231,10.739088,98.669769,0.318128616,-0.003101,-0.0178,-0.003317,1739.252686,2
493062.9934,5180810.278,493062.9934,5180810.278,451,784.24506,0.906928,-3.892195,824.580017,5.814919,1.611724,778.51123,5.733826,12.151978,0.32058,8.198483,101.118385,0.338193089,-0.000767,0.006034,0.00086,1749.053345,2
493099.006,5180815.365,493099.006,5180815.365,452,779.76106,0.843133,-4.666996,6518.585938,9.480866,0.872626,778.307617,1.45343,16.069824,0.082943,3.334651,142.471939,0.691115455,-0.001955,-0.18134,-0.010548,1780.764893,2
493108.4058,5180801.305,493108.4058,5180801.305,453,778.97971,0.830028,-5.008229,9391.883789,10.051637,0.719121,778.022583,0.957153,16.546387,0.054683,2.716138,155.14978,0.787857932,-0.004129,-0.22566,-0.010694,1777.809204,2
493163.5092,5180809.393,493163.5092,5180809.393,454,778.09439,0.747033,-1.144869,11222.44727,9.300963,1.245303,777.683899,0.410461,16.876526,0.023744,4.330739,257.413544,0.838350973,-0.008556,-0.026678,-0.002015,1747.284302,2
493186.1087,5180807.786,493186.1087,5180807.786,455,780.48596,0.747681,-0.337973,180.697113,4.677156,0.552124,777.542236,2.943726,14.29718,0.170741,4.664855,254.710831,0.855333247,0.005462,0.036777,0.002991,1752.950317,2
493218.9118,5180794.019,493218.9118,5180794.019,456,778.41779,0.930921,1.424489,594.516907,5.324334,1.8576,776.874634,1.543152,15.992798,0.087999,9.629027,167.232239,0.867056027,-0.00152,-0.009688,-0.00162,1891.113525,3
493241.5752,5180806.682,493241.5752,5180806.682,457,779.78015,0.9684,1.006213,426.932434,4.740018,2.387698,777.149719,2.630432,14.574768,0.152886,12.32767,169.656204,0.881086855,-0.000368,0.008881,0.001896,1928.625977,3
493269.8864,5180802.812,493269.8864,5180802.812,458,777.8932,0.947574,1.122223,654.606445,5.37951,1.994567,776.916138,0.977051,16.317505,0.056495,10.025159,158.76329,0.813052176,-0.002801,0.006905,0.001202,1888.555908,3
493295.4658,5180815.285,493295.4658,5180815.285,459,778.07884,0.954769,0.666815,575.584351,5.241597,1.966732,777.160156,0.918701,16.101868,0.053976,10.116589,152.710999,0.770200927,-0.004466,0.008112,0.001425,1881.473144,3
493011.8358,5180850.195,493011.8359,5180850.195,460,795.38848,0.953903,1.385442,264.371552,3.913935,2.302963,779.179504,16.208984,3.286377,0.831428,13.447355,86.61898,0.224897922,0.003034,0.021048,0.004895,1680.213257,4
493036.3095,5180831.965,493036.3095,5180831.966,461,790.15216,0.970709,1.202144,409.643829,4.707705,2.34166,778.920654,11.231506,7.342468,0.60469,12.220213,102.597069,0.350455197,-0.002659,0.009648,0.002042,1752.014282,2
493054.8175,5180848.523,493054.8175,5180848.523,462,786.48934,0.920861,0.109397,483.134552,4.780243,1.871913,779.03656,7.452759,10.928528,0.405454,10.411593,89.981293,0.249858635,-0.001791,0.014396,0.002602,1710.101318,2
493102.811,5180826.693,493102.811,5180826.693,463,780.43803,0.832724,-3.724496,3084.645508,8.540528,0.963512,778.525757,1.912292,15.583557,0.1093,4.038884,184.284409,0.950479492,-0.000942,-0.061751,-0.004349,1806.194092,3
