ID2,FieldName,Latitude,Longitude,Elevation,AnalyticalHillshade,ConvergenceIndex,TotalCatchmentArea,TopographicWetnessIndex,LengthSlopeFactor,ChannelNetworkBaseLevel,ChannelNetworkDistance,ValleyDepth,RelativeSlopePosition,Slope,Aspect,TRASP,ProfileCurvature,PlanCurvature,TangentialCurvature,AnnualGlobalSolarRadiation
1,CookEast,46.77872900102268,-117.08751399999728,781.48643,0.857087,3.197987,682.413452,5.70231,1.407364,779.053223,2.433228,31.977112,0.070712,7.600873,195.363983,0.983775,-0.000807,-0.001175,-0.000155,1860.944336
2,CookEast,46.778691632030224,-117.08706455043719,782.43932,0.835344,-0.196646,1105.528442,6.43378,1.126312,779.747253,2.692078,31.024231,0.079845,5.939017,198.724243,0.990349,-0.001025,-0.004596,-0.000476,1833.973389
3,CookEast,46.77879100102537,-117.08667800000025,784.93625,0.859389,1.008778,689.02832,5.602043,1.622139,780.296753,4.639526,28.526917,0.139886,8.471982,198.49437,0.989953,-0.001278,0.009172,0.001351,1871.270264
4,CookEast,46.778761001018935,-117.08626000000152,786.42902,0.876073,-0.155071,865.019226,5.865278,1.622096,780.632019,5.796997,27.032532,0.176579,8.178418,188.564774,0.965416,-6.1e-05,0.024965,0.003551,1873.524658
5,CookEast,46.77866600102665,-117.08584199999783,786.51237,0.843491,0.770311,563.946228,5.538609,1.308802,780.843933,5.668457,26.945679,0.173804,7.40098,201.473892,0.994474,-0.001019,0.025449,0.003278,1853.676514
6,CookEast,46.77877321025278,-117.08541874519892,788.86724,0.869933,0.876538,507.007996,5.384809,1.361155,781.0979,7.769348,24.582886,0.240149,7.755673,189.243042,0.967546,0.000599,0.007071,0.000954,1867.129761
7,CookEast,46.77863200102642,-117.08500599999726,787.45926,0.837941,-25.608973,743.592224,7.231078,1.389596,781.234009,6.225281,25.98175,0.193289,6.143387,198.256775,0.989535,3.8e-05,0.003321,0.000355,1837.804688
8,CookEast,46.77872100102458,-117.08458800000076,789.37377,0.844178,0.429873,659.865051,5.817064,1.156114,781.354553,8.019226,24.056396,0.25001,6.562785,196.850006,0.986889,-0.001875,-0.01145,-0.001309,1845.146606
9,CookEast,46.778674001023624,-117.08416999999936,790.38151,0.84458,0.410384,584.385193,5.772049,1.022833,781.416199,8.965332,23.034485,0.280168,6.083565,193.567245,0.979576,-0.002706,0.002227,0.000236,1839.738281
10,CookEast,46.778737001021355,-117.08375199999682,791.06429,0.839718,1.207275,671.106873,5.968001,0.976467,781.426819,9.637451,22.333984,0.301439,5.745335,194.543625,0.981917,-0.002169,-0.00334,-0.000334,1834.046875
11,CookEast,46.7786580010233,-117.08333399999913,791.7791,0.858118,6.209206,474.250122,5.405498,0.820242,781.38269,10.396423,21.5896,0.32503,5.512998,177.637878,0.922341,-0.002613,0.017182,0.001651,1833.761963
12,CookEast,46.77873107677735,-117.08293983817022,790.10768,0.956006,1.186924,705.185547,5.464325,1.998132,781.314575,8.793091,23.233948,0.274552,9.923579,145.697632,0.716811,-0.000138,-0.016868,-0.002907,1868.415649
13,CookEast,46.77876400102563,-117.08249800000463,789.8916,0.973993,0.246576,504.412842,4.893497,2.509701,781.241272,8.65033,23.420044,0.26973,12.487485,167.897827,0.870975,-0.004144,-0.002747,-0.000594,1930.155518
14,CookEast,46.77868863599479,-117.0816321595189,786.32811,0.77039,-12.630064,59151.945313,12.372137,0.557062,781.051758,5.276367,26.93396,0.16381,1.680982,256.493866,0.844216,-0.003087,-0.524887,-0.015397,1741.893433
15,CookEast,46.77870700102554,-117.08124400000453,787.90394,0.652849,-10.598305,257.190491,4.727349,1.15657,780.999573,6.904358,25.352539,0.214043,7.594615,315.061066,0.370076,-0.002855,0.021569,0.002851,1619.081543
16,CookEast,46.778826001025564,-117.08040800000407,792.63767,0.678597,-7.426066,265.092682,4.957756,0.900397,780.822021,11.815674,20.640259,0.364053,6.228899,325.151794,0.287491,-0.001979,0.009784,0.001062,1628.832275
17,CookEast,46.77879700102244,-117.07998999999907,794.40577,0.649422,-6.225074,228.862579,4.532107,1.248948,780.756042,13.649719,18.905334,0.419281,8.207028,331.922882,0.235611,-0.005666,-0.005074,-0.000724,1581.11023
18,CookEast,46.7789517373865,-117.08888011980027,773.50774,0.776906,-15.321036,756.89325,9.546829,0.070831,773.507751,0.0,39.955811,0.0,0.619535,276.944946,0.695808,-0.000195,-0.050532,-0.000546,1732.685425
19,CookEast,46.77882662026398,-117.08846626321277,775.17401,0.699722,2.636097,383.660706,4.903562,1.140765,775.174011,0.0,38.289551,0.0,7.349626,269.78656,0.751611,-0.004448,0.031641,0.004048,1722.267212
20,CookEast,46.778867001026,-117.08806400000168,780.12205,0.730928,-2.036438,300.793579,4.762335,1.393431,777.532776,2.589294,33.341492,0.072063,8.562903,250.501816,0.880193,0.001931,0.022706,0.003381,1772.25061
21,CookEast,46.77884200102199,-117.08764599999786,783.79064,0.839222,-4.086113,363.798981,5.103765,1.193569,778.824158,4.966492,29.672913,0.143377,7.375257,203.535065,0.99682,0.001559,0.021756,0.002793,1851.171631
